"grade","prob","oper","op1","op2","op1type","op2type","opTypes","opSubTypes","op1val","op2val"
"1","3+1","+","3","1","whole","whole","whole","SD_whole",3,1
"1","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"1","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"1","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"1","3+5","+","3","5","whole","whole","whole","SD_whole",3,5
"1","5+1","+","5","1","whole","whole","whole","SD_whole",5,1
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"1","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"1","2+1","+","2","1","whole","whole","whole","SD_whole",2,1
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"1","8+2","+","8","2","whole","whole","whole","SD_whole",8,2
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"1","6+1","+","6","1","whole","whole","whole","SD_whole",6,1
"1","3+6","+","3","6","whole","whole","whole","SD_whole",3,6
"1","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"1","6+2","+","6","2","whole","whole","whole","SD_whole",6,2
"1","2+0","+","2","0","whole","whole","whole","SD_whole",2,0
"1","0+1","+","0","1","whole","whole","whole","SD_whole",0,1
"1","4+6","+","4","6","whole","whole","whole","SD_whole",4,6
"1","0+5","+","0","5","whole","whole","whole","SD_whole",0,5
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","0+6","+","0","6","whole","whole","whole","SD_whole",0,6
"1","0+5","+","0","5","whole","whole","whole","SD_whole",0,5
"1","1+3","+","1","3","whole","whole","whole","SD_whole",1,3
"1","0+4","+","0","4","whole","whole","whole","SD_whole",0,4
"1","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"1","3+3","+","3","3","whole","whole","whole","SD_whole",3,3
"1","1+2","+","1","2","whole","whole","whole","SD_whole",1,2
"1","1+3","+","1","3","whole","whole","whole","SD_whole",1,3
"1","2+1","+","2","1","whole","whole","whole","SD_whole",2,1
"1","1+5","+","1","5","whole","whole","whole","SD_whole",1,5
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","2+4","+","2","4","whole","whole","whole","SD_whole",2,4
"1","2+6","+","2","6","whole","whole","whole","SD_whole",2,6
"1","6+2","+","6","2","whole","whole","whole","SD_whole",6,2
"1","1+5","+","1","5","whole","whole","whole","SD_whole",1,5
"1","5+1","+","5","1","whole","whole","whole","SD_whole",5,1
"1","1+3","+","1","3","whole","whole","whole","SD_whole",1,3
"1","1+2","+","1","2","whole","whole","whole","SD_whole",1,2
"1","3+1","+","3","1","whole","whole","whole","SD_whole",3,1
"1","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"1","3+2","+","3","2","whole","whole","whole","SD_whole",3,2
"1","0+5","+","0","5","whole","whole","whole","SD_whole",0,5
"1","2+4","+","2","4","whole","whole","whole","SD_whole",2,4
"1","3+3","+","3","3","whole","whole","whole","SD_whole",3,3
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","5+2","+","5","2","whole","whole","whole","SD_whole",5,2
"1","2+5","+","2","5","whole","whole","whole","SD_whole",2,5
"1","0+2","+","0","2","whole","whole","whole","SD_whole",0,2
"1","6+2","+","6","2","whole","whole","whole","SD_whole",6,2
"1","2+0","+","2","0","whole","whole","whole","SD_whole",2,0
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","1+2","+","1","2","whole","whole","whole","SD_whole",1,2
"1","2+2","+","2","2","whole","whole","whole","SD_whole",2,2
"1","0+3","+","0","3","whole","whole","whole","SD_whole",0,3
"1","1+1","+","1","1","whole","whole","whole","SD_whole",1,1
"1","4+2","+","4","2","whole","whole","whole","SD_whole",4,2
"1","8+1","+","8","1","whole","whole","whole","SD_whole",8,1
"1","0+4","+","0","4","whole","whole","whole","SD_whole",0,4
"1","7+3","+","7","3","whole","whole","whole","SD_whole",7,3
"1","4+4","+","4","4","whole","whole","whole","SD_whole",4,4
"1","9+1","+","9","1","whole","whole","whole","SD_whole",9,1
"1","6+3","+","6","3","whole","whole","whole","SD_whole",6,3
"1","4+3","+","4","3","whole","whole","whole","SD_whole",4,3
"1","3+7","+","3","7","whole","whole","whole","SD_whole",3,7
"1","2+7","+","2","7","whole","whole","whole","SD_whole",2,7
"1","5+2","+","5","2","whole","whole","whole","SD_whole",5,2
"1","0+9","+","0","9","whole","whole","whole","SD_whole",0,9
"1","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","7+0","+","7","0","whole","whole","whole","SD_whole",7,0
"1","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"1","6+4","+","6","4","whole","whole","whole","SD_whole",6,4
"1","3+5","+","3","5","whole","whole","whole","SD_whole",3,5
"1","2+6","+","2","6","whole","whole","whole","SD_whole",2,6
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","5+4","+","5","4","whole","whole","whole","SD_whole",5,4
"1","4+1","+","4","1","whole","whole","whole","SD_whole",4,1
"1","2+6","+","2","6","whole","whole","whole","SD_whole",2,6
"1","3+4","+","3","4","whole","whole","whole","SD_whole",3,4
"1","5+1","+","5","1","whole","whole","whole","SD_whole",5,1
"1","8+0","+","8","0","whole","whole","whole","SD_whole",8,0
"1","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"1","0+0","+","0","0","whole","whole","whole","SD_whole",0,0
"1","5+5","+","5","5","whole","whole","whole","SD_whole",5,5
"1","2+5","+","2","5","whole","whole","whole","SD_whole",2,5
"1","4+5","+","4","5","whole","whole","whole","SD_whole",4,5
"1","7+1","+","7","1","whole","whole","whole","SD_whole",7,1
"1","5+3","+","5","3","whole","whole","whole","SD_whole",5,3
"1","8+2","+","8","2","whole","whole","whole","SD_whole",8,2
"1","2+2","+","2","2","whole","whole","whole","SD_whole",2,2
"1","2+3","+","2","3","whole","whole","whole","SD_whole",2,3
"1","5+2","+","5","2","whole","whole","whole","SD_whole",5,2
"1","2+0","+","2","0","whole","whole","whole","SD_whole",2,0
"1","6+2","+","6","2","whole","whole","whole","SD_whole",6,2
"1","8-3","-","8","3","whole","whole","whole","SD_whole",8,3
"1","6-4","-","6","4","whole","whole","whole","SD_whole",6,4
"1","5-4","-","5","4","whole","whole","whole","SD_whole",5,4
"1","9-6","-","9","6","whole","whole","whole","SD_whole",9,6
