grade,prob
6,12-3
6,11-3
6,11-3
6,12-5
6,12-5
6,16-9
6,14-5
6,11-6
6,13-7
6,11-4
6,14-7
6,11-7
6,12-7
6,12-3
6,11-3
6,14-9
6,13-6
6,15-7
6,13-9
6,11-8
6,12-8
6,11-9
6,14-9
6,11-8
6,12-9
6,12-8
6,15-7
6,14-6
6,16-7
6,13-5
6,12-4
6,18-9
6,13-6
6,12-5
6,13-5
6,12-7
6,13-7
6,11-2
6,11-3
6,15-7
6,13-6
6,17-8
6,15-7
6,12-3
6,12-8
6,13-6
6,18-9
6,17-8
6,20-10
6,13-4
6,15-8
6,15-6
6,13-6
6,11-6
6,11-7
6,17-8
6,14-8
6,13-7
6,14-5
6,12-5
6,17-9
6,11-3
6,13-9
6,15-8
6,11-2
6,12-4
6,15-9
6,12-9
6,11-3
6,12-8
6,15-8
6,13-9
6,14-5
6,14-6
6,16-9
6,17-8
6,15-7
6,11-5
6,20-10
6,16-9
6,13-6
6,14-9
6,15-7
6,14-6
6,14-8
6,17-8
6,11-6
6,15-9
6,20-10
6,13-4
6,12-7
6,15-8
6,11-5
6,13-6
6,16-9
6,12-7
6,15-6
6,18-9
6,14-9
6,15-7
6,12-9
6,12-4
6,16-7
6,11-8
6,17-8
6,17-9
6,13-6
6,17-9
6,13-3
6,20-10
6,13-6
6,11-6
6,17-8
6,13-5
6,16-9
6,14-7
6,15-6
6,12-4
6,12-5
6,15-9
6,12-7
6,18-9
6,13-4
6,14-5
6,14-8
6,17-9
6,13-7
6,14-9
6,11-3
6,11-2
6,14-9
6,18-9
6,15-6
6,11-4
6,20+40
6,30+30
6,40+50
6,50+30
6,40+40
6,70+20
6,10+80
6,60+30
6,10+30
6,30+30
6,60+10
6,10+70
6,20+30
6,30+10
6,60-20
6,70-30
6,80-20
6,90-40
6,80-40
6,90-70
6,70-50
6,30-30
6,15-7
6,11-2
6,30+50
6,40+20
6,90-20
6,60-40
6,40-10
6,80-40
6,60-20
6,70-30
6,42+7
6,57+30
6,91+5
6,18+50
6,32+5
6,48+30
6,13+70
6,22+6
6,71+3
6,49+50
6,53+4
6,25+40
6,62+9
6,47+2
6,26+50
6,22+5
6,4+85
6,42+50
6,11+8
6,14+5
6,27+2
6,41+5
6,13+50
6,28+30
6,65+3
6,81+8
6,54+20
6,32+10
6,95+2
6,25+60
6,2+54
6,70+29
6,44+5
6,16+70
6,78+20
6,52+7
6,2+13
6,73+4
6,65+3
6,20+25
6,49+30
6,81+8
6,62+30
6,37+2
6,21+6
6,49+3
6,39+7
6,72+9
6,58+5
6,46+7
6,53+8
6,26+5
6,68+4
6,47+6
6,84+8
6,81+14
6,43+37
6,62+23
6,28+17
6,59+13
6,31+26
6,54+34
6,42+31
6,23+12
6,56+20
6,48+50
6,76-20
6,98-50
6,28+60
6,88-60
6,36+30
6,66-30
6,73+10
6,83-10
6,25+70
6,95-70
6,18+40
6,58-40
6,16+60
6,76-60
6,61+30
6,91-30
6,64+20
6,84-20
6,78-20
6,37+50
6,50-30
6,51+21
6,30+60
6,73+5
6,29+4
6,25+54
6,15-8
6,40+10
6,40-10
6,14-7
6,90-70
6,86+12
6,8+31
6,50+11
6,12-3
6,7+42
6,41+36
6,16+7
6,64+3
6,60-30
6,13-5
6,52+40
6,30+50
6,23+30
6,20+20
6,90-30
6,52+4
6,62+21
6,39-10
6,47+34
6,49-6
6,64+30
6,20+18
6,90-50
6,14-5
6,37+5
6,62+15
6,42+20
6,40+30
